root_dir,graph_path,is_eq,n_B,n_C,n_atoms,composition,tag
D:\Sara\All_DFT_Data\Test_Data,Test41/graphs.pt,1,12,3,15,B12C3,Test41
D:\Sara\All_DFT_Data\Test_Data,Test42/graphs.pt,1,13,2,15,B13C2,Test42
D:\Sara\All_DFT_Data\Test_Data,Test43/graphs.pt,1,12,3,15,B12C3,Test43
D:\Sara\All_DFT_Data\Test_Data,Test44/graphs.pt,1,11,4,15,B11C4,Test44
D:\Sara\All_DFT_Data\Test_Data,Test45/graphs.pt,1,12,3,15,B12C3,Test45
D:\Sara\All_DFT_Data\Test_Data,Test46/graphs.pt,1,13,2,15,B13C2,Test46
D:\Sara\All_DFT_Data\Test_Data,Test47/graphs.pt,1,11,4,15,B11C4,Test47
D:\Sara\All_DFT_Data\Test_Data,Test48/graphs.pt,1,13,2,15,B13C2,Test48
D:\Sara\All_DFT_Data\Test_Data,Test49/graphs.pt,1,13,2,15,B13C2,Test49
D:\Sara\All_DFT_Data\Test_Data,Test5/graphs.pt,1,12,3,15,B12C3,Test5
D:\Sara\All_DFT_Data\Test_Data,Test50/graphs.pt,1,11,4,15,B11C4,Test50
D:\Sara\All_DFT_Data\Test_Data,Test51/graphs.pt,1,13,2,15,B13C2,Test51
D:\Sara\All_DFT_Data\Test_Data,Test52/graphs.pt,1,13,2,15,B13C2,Test52
D:\Sara\All_DFT_Data\Test_Data,Test53/graphs.pt,1,13,2,15,B13C2,Test53
D:\Sara\All_DFT_Data\Test_Data,Test54/graphs.pt,1,13,2,15,B13C2,Test54
D:\Sara\All_DFT_Data\Test_Data,Test55/graphs.pt,1,13,2,15,B13C2,Test55
D:\Sara\All_DFT_Data\Test_Data,Test56/graphs.pt,1,11,4,15,B11C4,Test56
D:\Sara\All_DFT_Data\Test_Data,Test57/graphs.pt,1,11,4,15,B11C4,Test57
D:\Sara\All_DFT_Data\Test_Data,Test58/graphs.pt,1,12,3,15,B12C3,Test58
D:\Sara\All_DFT_Data\Test_Data,Test59/graphs.pt,1,12,3,15,B12C3,Test59
D:\Sara\All_DFT_Data\Test_Data,Test6/graphs.pt,1,12,3,15,B12C3,Test6
D:\Sara\All_DFT_Data\Test_Data,Test60/graphs.pt,1,12,3,15,B12C3,Test60
D:\Sara\All_DFT_Data\Test_Data,Test61/graphs.pt,1,11,4,15,B11C4,Test61
D:\Sara\All_DFT_Data\Test_Data,Test62/graphs.pt,1,12,3,15,B12C3,Test62
D:\Sara\All_DFT_Data\Test_Data,Test63/graphs.pt,1,12,3,15,B12C3,Test63
D:\Sara\All_DFT_Data\Test_Data,Test64/graphs.pt,1,101,19,120,B101C19,Test64
D:\Sara\All_DFT_Data\Test_Data,Test65/graphs.pt,1,103,17,120,B103C17,Test65
D:\Sara\All_DFT_Data\Test_Data,Test66/graphs.pt,1,13,2,15,B13C2,Test66
D:\Sara\All_DFT_Data\Test_Data,Test67/graphs.pt,1,107,13,120,B107C13,Test67
D:\Sara\All_DFT_Data\Test_Data,Test68/graphs.pt,1,109,11,120,B109C11,Test68
D:\Sara\All_DFT_Data\Test_Data,Test69/graphs.pt,1,111,9,120,B111C9,Test69
D:\Sara\All_DFT_Data\Test_Data,Test7/graphs.pt,1,25,5,30,B25C5,Test7
D:\Sara\All_DFT_Data\Test_Data,Test70/graphs.pt,1,113,7,120,B113C7,Test70
D:\Sara\All_DFT_Data\Test_Data,Test71/graphs.pt,1,11,4,15,B11C4,Test71
D:\Sara\All_DFT_Data\Test_Data,Test72/graphs.pt,1,13,2,15,B13C2,Test72
D:\Sara\All_DFT_Data\Test_Data,Test73/graphs.pt,1,14,1,15,B14C1,Test73
D:\Sara\All_DFT_Data\Test_Data,Test74/graphs.pt,1,23,7,30,B23C7,Test74
D:\Sara\All_DFT_Data\Test_Data,Test75/graphs.pt,1,25,5,30,B25C5,Test75
D:\Sara\All_DFT_Data\Test_Data,Test76/graphs.pt,1,27,3,30,B27C3,Test76
D:\Sara\All_DFT_Data\Test_Data,Test77/graphs.pt,1,45,15,60,B45C15,Test77
D:\Sara\All_DFT_Data\Test_Data,Test78/graphs.pt,1,47,13,60,B47C13,Test78
D:\Sara\All_DFT_Data\Test_Data,Test79/graphs.pt,1,49,11,60,B49C11,Test79
D:\Sara\All_DFT_Data\Test_Data,Test8/graphs.pt,1,12,3,15,B12C3,Test8
D:\Sara\All_DFT_Data\Test_Data,Test80/graphs.pt,1,11,4,15,B11C4,Test80
D:\Sara\All_DFT_Data\Test_Data,Test81/graphs.pt,1,53,7,60,B53C7,Test81
D:\Sara\All_DFT_Data\Test_Data,Test82/graphs.pt,1,55,5,60,B55C5,Test82
D:\Sara\All_DFT_Data\Test_Data,Test83/graphs.pt,1,97,23,120,B97C23,Test83
D:\Sara\All_DFT_Data\Test_Data,Test84/graphs.pt,1,99,21,120,B99C21,Test84
D:\Sara\All_DFT_Data\Test_Data,Test85/graphs.pt,1,11,4,15,B11C4,Test85
D:\Sara\All_DFT_Data\Test_Data,Test86/graphs.pt,1,51,9,60,B51C9,Test86
D:\Sara\All_DFT_Data\Test_Data,Test87/graphs.pt,1,13,2,15,B13C2,Test87
D:\Sara\All_DFT_Data\Test_Data,Test88/graphs.pt,1,105,15,120,B105C15,Test88
D:\Sara\All_DFT_Data\Test_Data,Test89/graphs.pt,1,11,4,15,B11C4,Test89
D:\Sara\All_DFT_Data\Test_Data,Test9/graphs.pt,1,11,4,15,B11C4,Test9
D:\Sara\All_DFT_Data\Test_Data,Test90/graphs.pt,1,14,1,15,B14C1,Test90
D:\Sara\All_DFT_Data\Test_Data,Test91/graphs.pt,1,11,4,15,B11C4,Test91
D:\Sara\All_DFT_Data\Test_Data,Test92/graphs.pt,1,12,3,15,B12C3,Test92
D:\Sara\All_DFT_Data\Test_Data,Test93/graphs.pt,1,99,21,120,B99C21,Test93
D:\Sara\All_DFT_Data\Test_Data,Test94/graphs.pt,1,23,7,30,B23C7,Test94
D:\Sara\All_DFT_Data\Test_Data,Test95/graphs.pt,1,12,3,15,B12C3,Test95
D:\Sara\All_DFT_Data\Test_Data,Test96/graphs.pt,1,12,3,15,B12C3,Test96
D:\Sara\All_DFT_Data\Test_Data,Test97/graphs.pt,1,12,3,15,B12C3,Test97
D:\Sara\All_DFT_Data\Test_Data,Test98/graphs.pt,1,27,3,30,B27C3,Test98
D:\Sara\All_DFT_Data\Test_Data,Test99/graphs.pt,1,25,5,30,B25C5,Test99
