root_dir,graph_path,is_eq,n_B,n_C,n_atoms,composition,tag
D:\Sara\All_DFT_Data,30/B25C5_5/S_309553/graphs.pt,0,25,5,30,B25C5,S_309553
D:\Sara\All_DFT_Data,15/B13C2_4/S_165211/graphs.pt,0,13,2,15,B13C2,S_165211
D:\Sara\All_DFT_Data,30/B23C7_3/S_367990/graphs.pt,0,23,7,30,B23C7,S_367990
D:\Sara\All_DFT_Data,120/B97C23_3/S_307588/graphs.pt,0,97,23,120,B97C23,S_307588
D:\Sara\All_DFT_Data,15/B12C3_2/S_302206/graphs.pt,0,12,3,15,B12C3,S_302206
D:\Sara\All_DFT_Data,120/B113C7_4/S_228717/graphs.pt,0,113,7,120,B113C7,S_228717
D:\Sara\All_DFT_Data,30/B25C5_5/S_354198/graphs.pt,0,25,5,30,B25C5,S_354198
D:\Sara\All_DFT_Data,120/B103C17_2/S_357333/graphs.pt,0,103,17,120,B103C17,S_357333
D:\Sara\All_DFT_Data,120/B103C17_5/S_42268/graphs.pt,0,103,17,120,B103C17,S_42268
D:\Sara\All_DFT_Data,120/B99C21_2/S_228852/graphs.pt,0,99,21,120,B99C21,S_228852
D:\Sara\All_DFT_Data,60/B55C5_1/S_161082/graphs.pt,0,55,5,60,B55C5,S_161082
D:\Sara\All_DFT_Data,60/B55C5_5/S_352415/graphs.pt,0,55,5,60,B55C5,S_352415
D:\Sara\All_DFT_Data,120/B99C21_3/S_322654/graphs.pt,0,99,21,120,B99C21,S_322654
D:\Sara\All_DFT_Data,30/B23C7_5/S_91293/graphs.pt,0,23,7,30,B23C7,S_91293
D:\Sara\All_DFT_Data,60/B45C15_2/S_173027/graphs.pt,0,45,15,60,B45C15,S_173027
D:\Sara\All_DFT_Data,60/B55C5_2/S_153540/graphs.pt,0,55,5,60,B55C5,S_153540
D:\Sara\All_DFT_Data,60/B49C11_5/S_162755/graphs.pt,0,49,11,60,B49C11,S_162755
D:\Sara\All_DFT_Data\Test_Data,Test89/graphs.pt,1,11,4,15,B11C4,Test89
D:\Sara\All_DFT_Data,120/B105C15_2/S_323116/graphs.pt,0,105,15,120,B105C15,S_323116
D:\Sara\All_DFT_Data,15/B14C_1/S_324679/graphs.pt,0,14,1,15,B14C1,S_324679
D:\Sara\All_DFT_Data,120/B113C7_1/S_366263/graphs.pt,0,113,7,120,B113C7,S_366263
D:\Sara\All_DFT_Data,60/B49C11_5/S_198617/graphs.pt,0,49,11,60,B49C11,S_198617
D:\Sara\All_DFT_Data,120/B101C19_4/S_381893/graphs.pt,0,101,19,120,B101C19,S_381893
D:\Sara\All_DFT_Data,15/B12C3_3/S_103671/graphs.pt,0,12,3,15,B12C3,S_103671
D:\Sara\All_DFT_Data,30/B27C3_3/S_139626/graphs.pt,0,27,3,30,B27C3,S_139626
D:\Sara\All_DFT_Data,15/B12C3_4/S_42180/graphs.pt,0,12,3,15,B12C3,S_42180
D:\Sara\All_DFT_Data,15/B12C3_4/S_67326/graphs.pt,0,12,3,15,B12C3,S_67326
D:\Sara\All_DFT_Data,15/B13C2_5/S_199142/graphs.pt,0,13,2,15,B13C2,S_199142
D:\Sara\All_DFT_Data,120/B107C13_2/S_45029/graphs.pt,0,107,13,120,B107C13,S_45029
D:\Sara\All_DFT_Data,120/B103C17_1/S_281171/graphs.pt,0,103,17,120,B103C17,S_281171
D:\Sara\All_DFT_Data\Test_Data,Test25/graphs.pt,1,12,3,15,B12C3,Test25
D:\Sara\All_DFT_Data,120/B103C17_4/S_283055/graphs.pt,0,103,17,120,B103C17,S_283055
D:\Sara\All_DFT_Data,60/B51C9_4/S_272785/graphs.pt,0,51,9,60,B51C9,S_272785
D:\Sara\All_DFT_Data,60/B51C9_5/S_224510/graphs.pt,0,51,9,60,B51C9,S_224510
D:\Sara\All_DFT_Data,120/B105C15_5/S_96739/graphs.pt,0,105,15,120,B105C15,S_96739
D:\Sara\All_DFT_Data,120/B107C13_2/S_180271/graphs.pt,0,107,13,120,B107C13,S_180271
D:\Sara\All_DFT_Data,120/B111C9_2/S_156586/graphs.pt,0,111,9,120,B111C9,S_156586
D:\Sara\All_DFT_Data,60/B53C7_3/S_254021/graphs.pt,0,53,7,60,B53C7,S_254021
D:\Sara\All_DFT_Data,120/B99C21_2/S_88233/graphs.pt,0,99,21,120,B99C21,S_88233
D:\Sara\All_DFT_Data,15/B11C4_1/S_397935/graphs.pt,0,11,4,15,B11C4,S_397935
D:\Sara\All_DFT_Data,30/B27C3_3/S_193033/graphs.pt,0,27,3,30,B27C3,S_193033
D:\Sara\All_DFT_Data,120/B113C7_5/S_288106/graphs.pt,0,113,7,120,B113C7,S_288106
D:\Sara\All_DFT_Data,120/B103C17_3/S_76232/graphs.pt,0,103,17,120,B103C17,S_76232
D:\Sara\All_DFT_Data,60/B55C5_4/S_63071/graphs.pt,0,55,5,60,B55C5,S_63071
D:\Sara\All_DFT_Data,60/B49C11_4/S_3827/graphs.pt,0,49,11,60,B49C11,S_3827
D:\Sara\All_DFT_Data,120/B107C13_1/S_89852/graphs.pt,0,107,13,120,B107C13,S_89852
D:\Sara\All_DFT_Data\Test_Data,Test39/graphs.pt,1,12,3,15,B12C3,Test39
D:\Sara\All_DFT_Data,30/B23C7_2/S_336512/graphs.pt,0,23,7,30,B23C7,S_336512
D:\Sara\All_DFT_Data\Test_Data,Test72/graphs.pt,1,13,2,15,B13C2,Test72
D:\Sara\All_DFT_Data,60/B49C11_4/S_19335/graphs.pt,0,49,11,60,B49C11,S_19335
D:\Sara\All_DFT_Data,120/B101C19_3/S_314299/graphs.pt,0,101,19,120,B101C19,S_314299
D:\Sara\All_DFT_Data,60/B49C11_5/S_310530/graphs.pt,0,49,11,60,B49C11,S_310530
D:\Sara\All_DFT_Data,60/B53C7_2/S_218698/graphs.pt,0,53,7,60,B53C7,S_218698
D:\Sara\All_DFT_Data,120/B99C21_5/S_376612/graphs.pt,0,99,21,120,B99C21,S_376612
D:\Sara\All_DFT_Data,15/B12C3_5/S_15008/graphs.pt,0,12,3,15,B12C3,S_15008
D:\Sara\All_DFT_Data,120/B101C19_4/S_381307/graphs.pt,0,101,19,120,B101C19,S_381307
D:\Sara\All_DFT_Data,60/B51C9_5/S_253491/graphs.pt,0,51,9,60,B51C9,S_253491
D:\Sara\All_DFT_Data,30/B25C5_3/S_312167/graphs.pt,0,25,5,30,B25C5,S_312167
D:\Sara\All_DFT_Data,30/B27C3_2/S_173308/graphs.pt,0,27,3,30,B27C3,S_173308
D:\Sara\All_DFT_Data,120/B99C21_3/S_103796/graphs.pt,0,99,21,120,B99C21,S_103796
D:\Sara\All_DFT_Data,60/B51C9_1/S_188206/graphs.pt,0,51,9,60,B51C9,S_188206
D:\Sara\All_DFT_Data,120/B109C11_1/S_232938/graphs.pt,0,109,11,120,B109C11,S_232938
D:\Sara\All_DFT_Data,30/B23C7_5/S_173103/graphs.pt,0,23,7,30,B23C7,S_173103
D:\Sara\All_DFT_Data,120/B97C23_4/S_139828/graphs.pt,0,97,23,120,B97C23,S_139828
D:\Sara\All_DFT_Data,120/B101C19_1/S_373694/graphs.pt,0,101,19,120,B101C19,S_373694
D:\Sara\All_DFT_Data,120/B103C17_3/S_2636/graphs.pt,0,103,17,120,B103C17,S_2636
D:\Sara\All_DFT_Data\Test_Data,Test26/graphs.pt,1,12,3,15,B12C3,Test26
D:\Sara\All_DFT_Data,60/B49C11_4/S_363087/graphs.pt,0,49,11,60,B49C11,S_363087
D:\Sara\All_DFT_Data,120/B103C17_5/S_584/graphs.pt,0,103,17,120,B103C17,S_584
D:\Sara\All_DFT_Data,15/B11C4_1/S_299161/graphs.pt,0,11,4,15,B11C4,S_299161
D:\Sara\All_DFT_Data,30/B27C3_3/S_201144/graphs.pt,0,27,3,30,B27C3,S_201144
D:\Sara\All_DFT_Data,15/B12C3_1/S_374846/graphs.pt,0,12,3,15,B12C3,S_374846
D:\Sara\All_DFT_Data,120/B111C9_3/S_204538/graphs.pt,0,111,9,120,B111C9,S_204538
D:\Sara\All_DFT_Data,15/B11C4_4/S_76933/graphs.pt,0,11,4,15,B11C4,S_76933
D:\Sara\All_DFT_Data,15/B14C_2/S_53503/graphs.pt,0,14,1,15,B14C1,S_53503
D:\Sara\All_DFT_Data,60/B49C11_2/S_77204/graphs.pt,0,49,11,60,B49C11,S_77204
D:\Sara\All_DFT_Data,120/B97C23_2/S_50197/graphs.pt,0,97,23,120,B97C23,S_50197
D:\Sara\All_DFT_Data\Test_Data,Test67/graphs.pt,1,107,13,120,B107C13,Test67
D:\Sara\All_DFT_Data,30/B27C3_4/S_252686/graphs.pt,0,27,3,30,B27C3,S_252686
D:\Sara\All_DFT_Data,15/B12C3_4/S_248340/graphs.pt,0,12,3,15,B12C3,S_248340
D:\Sara\All_DFT_Data,15/B14C_3/S_327746/graphs.pt,0,14,1,15,B14C1,S_327746
D:\Sara\All_DFT_Data,60/B45C15_3/S_305845/graphs.pt,0,45,15,60,B45C15,S_305845
D:\Sara\All_DFT_Data,120/B103C17_4/S_230988/graphs.pt,0,103,17,120,B103C17,S_230988
D:\Sara\All_DFT_Data,120/B113C7_1/S_342308/graphs.pt,0,113,7,120,B113C7,S_342308
D:\Sara\All_DFT_Data,15/B12C3_3/S_267007/graphs.pt,0,12,3,15,B12C3,S_267007
D:\Sara\All_DFT_Data,60/B45C15_2/S_150718/graphs.pt,0,45,15,60,B45C15,S_150718
D:\Sara\All_DFT_Data,30/B25C5_3/S_397509/graphs.pt,0,25,5,30,B25C5,S_397509
D:\Sara\All_DFT_Data,60/B55C5_3/S_249213/graphs.pt,0,55,5,60,B55C5,S_249213
D:\Sara\All_DFT_Data,120/B97C23_3/S_367527/graphs.pt,0,97,23,120,B97C23,S_367527
D:\Sara\All_DFT_Data,60/B53C7_1/S_338098/graphs.pt,0,53,7,60,B53C7,S_338098
D:\Sara\All_DFT_Data,15/B11C4_2/S_379853/graphs.pt,0,11,4,15,B11C4,S_379853
D:\Sara\All_DFT_Data,15/B12C3_3/S_119951/graphs.pt,0,12,3,15,B12C3,S_119951
D:\Sara\All_DFT_Data,60/B45C15_3/S_177461/graphs.pt,0,45,15,60,B45C15,S_177461
D:\Sara\All_DFT_Data,60/B51C9_4/S_224396/graphs.pt,0,51,9,60,B51C9,S_224396
D:\Sara\All_DFT_Data,15/B13C2_5/S_178489/graphs.pt,0,13,2,15,B13C2,S_178489
D:\Sara\All_DFT_Data,60/B47C13_5/S_142181/graphs.pt,0,47,13,60,B47C13,S_142181
D:\Sara\All_DFT_Data,120/B111C9_2/S_281135/graphs.pt,0,111,9,120,B111C9,S_281135
D:\Sara\All_DFT_Data,60/B47C13_4/S_335616/graphs.pt,0,47,13,60,B47C13,S_335616
D:\Sara\All_DFT_Data,60/B51C9_3/S_10929/graphs.pt,0,51,9,60,B51C9,S_10929
D:\Sara\All_DFT_Data,120/B103C17_1/S_225130/graphs.pt,0,103,17,120,B103C17,S_225130
D:\Sara\All_DFT_Data,15/B13C2_5/S_172459/graphs.pt,0,13,2,15,B13C2,S_172459
D:\Sara\All_DFT_Data,60/B45C15_3/S_271718/graphs.pt,0,45,15,60,B45C15,S_271718
D:\Sara\All_DFT_Data,60/B45C15_3/S_336886/graphs.pt,0,45,15,60,B45C15,S_336886
D:\Sara\All_DFT_Data,60/B51C9_1/S_365962/graphs.pt,0,51,9,60,B51C9,S_365962
D:\Sara\All_DFT_Data,30/B23C7_5/S_264939/graphs.pt,0,23,7,30,B23C7,S_264939
D:\Sara\All_DFT_Data,60/B53C7_4/S_180413/graphs.pt,0,53,7,60,B53C7,S_180413
D:\Sara\All_DFT_Data,120/B99C21_5/S_215447/graphs.pt,0,99,21,120,B99C21,S_215447
D:\Sara\All_DFT_Data,60/B53C7_4/S_266968/graphs.pt,0,53,7,60,B53C7,S_266968
D:\Sara\All_DFT_Data,120/B103C17_2/S_18068/graphs.pt,0,103,17,120,B103C17,S_18068
D:\Sara\All_DFT_Data,120/B107C13_5/S_258894/graphs.pt,0,107,13,120,B107C13,S_258894
D:\Sara\All_DFT_Data,60/B45C15_5/S_30151/graphs.pt,0,45,15,60,B45C15,S_30151
D:\Sara\All_DFT_Data,120/B101C19_2/S_19261/graphs.pt,0,101,19,120,B101C19,S_19261
D:\Sara\All_DFT_Data,120/B99C21_4/S_309796/graphs.pt,0,99,21,120,B99C21,S_309796
D:\Sara\All_DFT_Data,120/B105C15_3/S_155707/graphs.pt,0,105,15,120,B105C15,S_155707
D:\Sara\All_DFT_Data,120/B105C15_5/S_151529/graphs.pt,0,105,15,120,B105C15,S_151529
D:\Sara\All_DFT_Data,120/B97C23_2/S_83957/graphs.pt,0,97,23,120,B97C23,S_83957
D:\Sara\All_DFT_Data,60/B55C5_2/S_334621/graphs.pt,0,55,5,60,B55C5,S_334621
D:\Sara\All_DFT_Data,30/B23C7_2/S_254808/graphs.pt,0,23,7,30,B23C7,S_254808
D:\Sara\All_DFT_Data,30/B23C7_3/S_103538/graphs.pt,0,23,7,30,B23C7,S_103538
D:\Sara\All_DFT_Data,120/B99C21_5/S_315902/graphs.pt,0,99,21,120,B99C21,S_315902
D:\Sara\All_DFT_Data,60/B55C5_1/S_280501/graphs.pt,0,55,5,60,B55C5,S_280501
D:\Sara\All_DFT_Data,30/B27C3_3/S_9010/graphs.pt,0,27,3,30,B27C3,S_9010
D:\Sara\All_DFT_Data,120/B99C21_1/S_68063/graphs.pt,0,99,21,120,B99C21,S_68063
D:\Sara\All_DFT_Data,60/B47C13_2/S_286352/graphs.pt,0,47,13,60,B47C13,S_286352
